3839022712960004,3839021201080391,0,KTP,,,"Maras Himawan",LAKI-LAKI,BANJARMASIN,"1996-12-27 00:00:00",27,ISLAM,"BELUM TAMAT SD/SEDERAJAT","BELUM/TIDAK BEKERJA","BELUM KAWIN",,,WNI,,,ANAK,TETAP,HIDUP,,"DS. BARROWS NO 7","DS. BARROWS NO 7",1,"2015-02-10 00:00:00","2015-02-10 00:00:00"
3839022728670008,3839021606090005,0,KTP,,,"Gadis Fernanda",LAKI-LAKI,TANJUNG,"1967-08-27 00:00:00",56,ISLAM,"DIPLOMA IV/STRATA I","PEGAWAI NEGERI SIPIL",KAWIN,,,WNI,,,"KEPALA KELUARGA",TETAP,HIDUP,,"KI. KASIM NO 42","KI. KASIM NO 42",1,"2017-10-25 00:00:00","2017-10-25 00:00:00"
3839022802200001,3839020601080323,0,KTP,,,"Rosalina Rosalina Melani",LAKI-LAKI,MARTAPURA,"2022-02-28 00:00:00",2,ISLAM,"TIDAK/BELUM SEKOLAH","BELUM/TIDAK BEKERJA","BELUM KAWIN",,,WNI,,,ANAK,TETAP,HIDUP,,"JR. SIDIQ NO 5","JR. SIDIQ NO 5",1,"2022-06-20 00:00:00","2022-06-20 00:00:00"
3839022803900008,3839021301120006,0,KTP,,,"Anggriawan Dacin",LAKI-LAKI,SOLO,"1990-03-28 00:00:00",34,ISLAM,"TAMAT SD/SEDERAJAT","BURUH HARIAN LEPAS","BELUM KAWIN",,,WNI,,,ANAK,TETAP,HIDUP,,"JR. QUIGLEY NO 11","JR. QUIGLEY NO 11",1,"2012-01-13 00:00:00","2012-01-13 00:00:00"
3839022804060006,3839020507230004,0,KTP,,,"Ella Azzahra",LAKI-LAKI,BARABAI,"2006-04-28 00:00:00",18,ISLAM,"TIDAK/BELUM SEKOLAH","BELUM/TIDAK BEKERJA","BELUM KAWIN",,,WNI,,,ANAK,TETAP,HIDUP,,"DS. KRIS NO 84","DS. KRIS NO 84",1,"2023-07-05 00:00:00","2023-07-05 00:00:00"
3839022804900015,3839021006210001,0,KTP,,,"Jaya Firgantoro",LAKI-LAKI,"LUMAJANG ","1990-04-28 00:00:00",34,ISLAM,"DIPLOMA IV/STRATA I","PEGAWAI NEGERI SIPIL","KAWIN TERCATAT",,,WNI,,,"KEPALA KELUARGA",TETAP,HIDUP,,"PSR. YULIANA NO 6","PSR. YULIANA NO 6",1,"2021-10-06 00:00:00","2021-10-06 00:00:00"
3839022808040002,3839020204110001,0,KTP,,,"Purwanti Irma",LAKI-LAKI,"BANJARMASIN ","2004-03-02 00:00:00",20,ISLAM,SLTP/SEDERAJAT,PELAJAR/MAHASISWA,"BELUM KAWIN",,,WNI,,,ANAK,TETAP,HIDUP,,"JLN. KEMAL NO 7","JLN. KEMAL NO 7",1,"2022-02-09 00:00:00","2022-02-09 00:00:00"
3839022808480002,3839021101080203,0,KTP,,,"Leilani Fitriani",LAKI-LAKI,"LUMAJANG ","1948-08-28 00:00:00",75,ISLAM,SLTA/SEDERAJAT,PENSIUNAN,KAWIN,,,WNI,,,"KEPALA KELUARGA",TETAP,HIDUP,,"DS. BATZ NO 52","DS. BATZ NO 52",1,"2016-11-15 00:00:00","2016-11-15 00:00:00"
3839022808910006,3839021702080022,0,KTP,,,"Hardana Hardana Rayhan",LAKI-LAKI,SURABAYA,"1991-08-28 00:00:00",32,ISLAM,SLTP/SEDERAJAT,PELAJAR/MAHASISWA,"BELUM KAWIN",,,WNI,,,ANAK,TETAP,HIDUP,,"DK. DICKI NO 77","DK. DICKI NO 77",1,"2011-06-07 00:00:00","2011-06-07 00:00:00"
3839022811700004,3839021101080289,0,KTP,,,"Muni Maulana",LAKI-LAKI,"KLATEN ","1970-11-28 00:00:00",53,ISLAM,"AKADEMI/DIPLOMA III/SARJANA MUDA","KARYAWAN SWASTA","KAWIN TERCATAT",,,WNI,,,"KEPALA KELUARGA",TETAP,HIDUP,,"JR. CICI NO 55","JR. CICI NO 55",1,"2019-12-12 00:00:00","2019-12-12 00:00:00"
